"","vin","stock_number","is_new","year","make","model","body_style","trim","odometer","color","color","price","image_url","url","interior_color","fuel_type"
68,"2FMHK6D83KBA21891","A49683PT",False,2019,"Ford","Flex","","Utility 4D L",68209,"Black","",26812.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/e85fed52eafb7d23a41768267658def75640e7d9.jpg","https://dealer.vip/0a_l7hPUTv7G","",""
69,"5FNYF6H10KB085315","A49679NP",False,2019,"Honda","Pilot","","LX AWD 3.5L ",49402,"Silver","",25989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/dd71b4d39ae968a08cdd1e6dfb9e80bb86e37ff3.jpg","https://dealer.vip/9Lru2d-A1HDD","",""
70,"3TMCZ5AN8MM429061","A49671TT",False,2021,"Toyota","Tacoma","","Crew Cab SR5",21198,"Black","",37152.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/d51ca3e5b81522173033095a0b8c96ba027d0620.jpg","https://dealer.vip/gFZDK0yn0x_H","",""
71,"1GKKNKLS8MZ190185","A49682NP",False,2021,"GMC","Acadia","","4D SLE 3.6L ",28700,"Red","",30937.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/5c8f0936ff0abc3fc6f44233bb56df1036976638.jpg","https://dealer.vip/LkGGT-yTkg1A","",""
72,"1FMCU0GD9JUC18017","A49686XT",False,2018,"Ford","Escape","","Utility 4D S",87172,"Red","",13255.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/492f93aad34e8e98f62c228f92f28b0ad98492ac.jpg","https://dealer.vip/KbkJlN6ChJ7D","",""
73,"1ZVFT80N865247030","A49668ZT",False,2006,"Ford","Mustang","","Coupe 2D 4.0",121462,"Red","",9989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/b98e7f20f55bda25e7bceaf630b8e768a702f547.jpg","https://dealer.vip/-LfzK3x7Nkx1","",""
74,"1G1RA6S51HU109967","A49662HP",False,2017,"Chevrolet","Volt","","Sedan 4D LT ",87019,"Gray","",24989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/07cf4923d8aa13953094a6456512925fe1a91575.jpg","https://dealer.vip/lvgZY90WH770","",""
75,"2GC4YNE79R1109488","A49670PT",False,2024,"Chevrolet","Silverado 2500 HD","","Crew Cab LT ",3241,"Red","",64989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/470e2ededa6edbb1b6c431c49469149ba8112b85.jpg","https://dealer.vip/IlKXTitNYk8M","",""
76,"5YJ3E1EA5LF660482","A49661HA",False,2020,"Tesla","Model 3","","Sedan 4D Sta",93610,"Red","",24989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/d3659ec6688018cadddd821e3b5742d8a3a73960.jpg","https://dealer.vip/LIqNgYI4-XWH","",""
77,"3GCUDHEL4NG577995","A49660WT",False,2022,"Chevrolet","Silverado 1500","","Crew Cab ZR2",36200,"Red","",63600.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/5e7eb8e4b2923c11314e2692907848d67abd977b.jpg","https://dealer.vip/u4Q2SM3Xo5bd","",""
78,"1GC4YNE77NF224206","A49666WT",False,2022,"Chevrolet","Silverado 2500 HD","","Crew Cab LT ",48383,"Red","",53680.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/5d542fed4f723821cbfdb9a4a5b0c48bd6dafe0d.jpg","https://dealer.vip/Uofd0CQyO8GJ","",""
79,"1G1ZD5STXJF265788","A49663GT",False,2018,"Chevrolet","Malibu","","Sedan 4D LT ",75802,"Silver","",17989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/ddbbf37790dac6fdb5f3971dcc93b84a6b398771.jpg","https://dealer.vip/g3KewVfouESp","",""
80,"1FDAF57PX7EA63148","A49656MT",False,2007,"Ford Commercial","F-550 Super Duty","","F550 Chassis",168474,"Silver","",24681.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/1f9ec2b3ca1cc70699b571a912699e6abd98f29f.jpg","https://dealer.vip/ir5fzr3LjT4f","",""
81,"1FM5K8D87EGB65925","A49644QT",False,2014,"Ford","Explorer","","Utility 4D X",114268,"Silver","",13282.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/c7c047840c2d51639520d400e01c354336a3721c.jpg","https://dealer.vip/ZPFkNnv4bNh2","",""
82,"3GCUKREC5EG176175","A49647YT",False,2014,"Chevrolet","Silverado 1500","","Crew Cab LT ",63199,"Red","",26989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/71f8af554d800ebdeca1889fbf95d2b44777c3e5.jpg","https://dealer.vip/xHusFnaKRHpQ","",""
83,"1GYS4KKJ3HR154153","A49658HP",False,2017,"Cadillac","Escalade ESV","","Utility 4D P",74870,"Red","",44989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/6a5e166802d6b53bcd19fa7724f3c87a7eb43616.jpg","https://dealer.vip/3yyAPgU3yuFo","",""
84,"5TFRX5GN0HX088214","A49657NA",False,2017,"Toyota","Tacoma","","Extended Cab",81662,"Red","",22330.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/1250ba5cae7606256aa8621efededa0c8cff503f.jpg","https://dealer.vip/vZs0Ym1-b1np","",""
85,"5TDBZRFH5JS842363","A49645HP",False,2018,"Toyota","Highlander","","Utility 4D L",87757,"Red","",25822.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/d8593c36616390d794bf1a92c35e88f47dac3dca.jpg","https://dealer.vip/He_0kufTV4Iv","",""
86,"1G1FY6S06P4150631","A49650NA",False,2023,"Chevrolet","Bolt EUV",""," LT Electric",14208,"Gray","",24989.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/23c5a28e3286677ce36731ffb01a66c9945502aa.jpg","https://dealer.vip/mmHksowgH3pw","",""
87,"4T1F31AK1NU596321","A49646GT",False,2022,"Toyota","Camry","","Sedan 4D XLE",29267,"Gray","",36245.0,"https://dealerfunnel-inventory-standardized-images.s3.amazonaws.com/3495/ad396ef293d0925de8aeada104e26225dfba4ff4.jpg","https://dealer.vip/if79xqBvMALM","",""
